,title,subtitle,link
35,"Jelang Laga Terakhir Timnas Indonesia di Fase Grup Piala Asia 2023, PSSI: Tekanan Ada di Jepang",,https://www.bola.com/indonesia/read/5512214/jelang-laga-terakhir-timnas-indonesia-di-fase-grup-piala-asia-2023-pssi-tekanan-ada-di-jepang
36,"Prestasi Bulutangkis Indonesia Menurun, Masyarakat Tetap Percaya Pebulutangkis Tanah Air Bisa Dapat Medali di Olimpiade 2024",,https://www.bola.com/ragam/read/5512177/prestasi-bulutangkis-indonesia-menurun-masyarakat-tetap-percaya-pebulutangkis-tanah-air-bisa-dapat-medali-di-olimpiade-2024
37,"Piala Asia 2023: Beri Semangat, Ezra Walian Berharap Timnas Indonesia Tak Gentar Melawan Jepang",,https://www.bola.com/indonesia/read/5512119/piala-asia-2023-beri-semangat-ezra-walian-berharap-timnas-indonesia-tak-gentar-melawan-jepang
38,"Piala Asia 2023: Demi Bungkam Timnas Indonesia, Jepang Bakal Perlihatkan Penampilan Terbaik",,https://www.bola.com/indonesia/read/5512152/piala-asia-2023-demi-bungkam-timnas-indonesia-jepang-bakal-perlihatkan-penampilan-terbaik
39,Jadwal Lengkap Liga Italia Akhir Pekan Ini: Kesempatan Juventus Jauhi Kejaran Inter Milan di Puncak Klasemen,,https://www.bola.com/dunia/read/5511955/jadwal-lengkap-liga-italia-akhir-pekan-ini-kesempatan-juventus-jauhi-kejaran-inter-milan-di-puncak-klasemen
40,Trio Jebolan SAD Uruguay Dukung Pemain Naturalisasi Timnas Indonesia: Amunisi Lokal Jangan Takut Bersaing!,,https://www.bola.com/indonesia/read/5512098/trio-jebolan-sad-uruguay-dukung-pemain-naturalisasi-timnas-indonesia-amunisi-lokal-jangan-takut-bersaing
41,"Gawang Jepang Sudah 4 Kali Bobol di Piala Asia 2023, Bek Arsenal Incar Clean Sheet saat Hadapi Timnas Indonesia",,https://www.bola.com/indonesia/read/5512109/gawang-jepang-sudah-4-kali-bobol-di-piala-asia-2023-bek-arsenal-incar-clean-sheet-saat-hadapi-timnas-indonesia
42,"Suriah Menang atas India, Timnas Indonesia Masih Bisa Segel Tiket 16 Besar Piala Asia 2023 Tengah Malam Nanti Pukul 00.00 WIB",,https://www.bola.com/indonesia/read/5512186/suriah-menang-atas-india-timnas-indonesia-masih-bisa-segel-tiket-16-besar-piala-asia-2023-tengah-malam-nanti-pukul-0000-wib
43,"Hasil Piala Asia 2023: Suriah Taklukkan India, Tiket 16 Besar Belum di Genggaman Timnas Indonesia",,https://www.bola.com/indonesia/read/5512188/hasil-piala-asia-2023-suriah-taklukkan-india-tiket-16-besar-belum-di-genggaman-timnas-indonesia
44,Media Vietnam Puji Perubahan Taktik Shin Tae-yong saat Timnas Indonesia Gulung Vietnam di Piala Asia 2023,,https://www.bola.com/indonesia/read/5511949/media-vietnam-puji-perubahan-taktik-shin-tae-yong-saat-timnas-indonesia-gulung-vietnam-di-piala-asia-2023
45,"Jelang Hadapi Jepang di Piala Asia 2023, Justin Hubner: Bakal Jadi Pertandingan Sulit Timnas Indonesia, Tapi...",,https://www.bola.com/indonesia/read/5512162/jelang-hadapi-jepang-di-piala-asia-2023-justin-hubner-bakal-jadi-pertandingan-sulit-timnas-indonesia-tapi
46,"Timnas Indonesia Potensial Cetak Sejarah di Piala Asia 2023, Egy Maulana Vikri: Kesempatan di Depan Mata!",,https://www.bola.com/indonesia/read/5512107/timnas-indonesia-potensial-cetak-sejarah-di-piala-asia-2023-egy-maulana-vikri-kesempatan-di-depan-mata
47,Melaju Mulus ke Babak 16 Besar Indonesia Masters 2024: Fajar / Rian Enggan Tertekan,,https://www.bola.com/ragam/read/5512135/melaju-mulus-ke-babak-16-besar-indonesia-masters-2024-fajar-rian-enggan-tertekan
48,"Sudah Pasti Tersingkir dari Piala Asia 2023, Timnas Malaysia Diminta Tetap Ngotot Saat Hadapi Korea Selatan",,https://www.bola.com/indonesia/read/5511959/sudah-pasti-tersingkir-dari-piala-asia-2023-timnas-malaysia-diminta-tetap-ngotot-saat-hadapi-korea-selatan
49,"Rekor Pertemuan Jepang Vs Timnas Indonesia: Skuad Garuda Menang 7-0, tapi Hanya Masa Lalu",,https://www.bola.com/indonesia/read/5511860/rekor-pertemuan-jepang-vs-timnas-indonesia-skuad-garuda-menang-7-0-tapi-hanya-masa-lalu
50,"Pelatih Timnas Indonesia, Shin Tae-yong: Pratama Arhan Tidak Ngomong Apa-Apa, Saya Lebih Tahu Jepang dari Siapa pun",,https://www.bola.com/indonesia/read/5512027/pelatih-timnas-indonesia-shin-tae-yong-pratama-arhan-tidak-ngomong-apa-apa-saya-lebih-tahu-jepang-dari-siapa-pun
51,Liga Italia: Christian Pulisic Sulit Lupakan Gol Perdana Bersama AC Milan di San Siro,,https://www.bola.com/dunia/read/5511920/liga-italia-christian-pulisic-sulit-lupakan-gol-perdana-bersama-ac-milan-di-san-siro
52,"Marc Marquez Bongkar Alasan Hengkang dari Honda, tetapi Tetap Buka Kans Kembali",,https://www.bola.com/moto-gp/read/5511857/marc-marquez-bongkar-alasan-hengkang-dari-honda-tetapi-tetap-buka-kans-kembali
53,"Sensasi Mantan Pelatih PSM, Bawa Tajikistan Baru Debut Langsung ke 16 Besar Piala Asia 2023",,https://www.bola.com/indonesia/read/5511939/sensasi-mantan-pelatih-psm-bawa-tajikistan-baru-debut-langsung-ke-16-besar-piala-asia-2023
54,Deretan Fakta Impresif Bayer Leverkusen pada Musim Ini: Magis Xabi Alonso Tak Main-Main,,https://www.bola.com/dunia/read/5511919/deretan-fakta-impresif-bayer-leverkusen-pada-musim-ini-magis-xabi-alonso-tak-main-main
55,Jadwal Lengkap Jornada 22 Liga Spanyol Akhir Pekan Ini: Krusial Barcelona! Kejar Girona dan Real Madrid atau Digeser Atletico Madrid,,https://www.bola.com/spanyol/read/5511927/jadwal-lengkap-jornada-22-liga-spanyol-akhir-pekan-ini-krusial-barcelona-kejar-girona-dan-real-madrid-atau-digeser-atletico-madrid
56,"Jelang Jepang Vs Timnas Indonesia di Piala Asia 2023, Egy Maulana Vikri Tak Sabar Hadapi Tim Terbaik Asia",,https://www.bola.com/indonesia/read/5512054/jelang-jepang-vs-timnas-indonesia-di-piala-asia-2023-egy-maulana-vikri-tak-sabar-hadapi-tim-terbaik-asia
57,Liga Spanyol: Barcelona Disebut Ingin Permanenkan Status Duo Joao,,https://www.bola.com/spanyol/read/5511885/liga-spanyol-barcelona-disebut-ingin-permanenkan-status-duo-joao
58,"Dapat Pujian dari AFC, Ernando Ari Disandingkan dengan Tiga Talenta Muda yang Bersinar di Piala Asia 2023",,https://www.bola.com/indonesia/read/5511877/dapat-pujian-dari-afc-ernando-ari-disandingkan-dengan-tiga-talenta-muda-yang-bersinar-di-piala-asia-2023
59,"Shin Tae-yong Senang jika Timnas Indonesia Bisa Lolos 16 Besar Piala Asia 2023 Sebelum Lawan Jepang, tapi...",,https://www.bola.com/indonesia/read/5511998/shin-tae-yong-senang-jika-timnas-indonesia-bisa-lolos-16-besar-piala-asia-2023-sebelum-lawan-jepang-tapi
60,"Angkat Trofi Piala Super Italia 2023, Inter Milan Dapat Ucapan Selamat dari Ketua PSSI",,https://www.bola.com/dunia/read/5511899/angkat-trofi-piala-super-italia-2023-inter-milan-dapat-ucapan-selamat-dari-ketua-pssi
61,"Heboh di Dunia Streaming, Revenue Kai Cenat Bikin Cenat-cenut : Bisa Beli Minimal 2 Mobil Ferrari LaFerrari",,https://www.bola.com/e-sports/read/5511778/heboh-di-dunia-streaming-revenue-kai-cenat-bikin-cenat-cenut-bisa-beli-minimal-2-mobil-ferrari-laferrari
62,"Tanpa Beban, Vietnam Ingin Happy Ending dengan Permalukan Irak di Laga Pamungkas Grup D Piala Asia 2023",,https://www.bola.com/indonesia/read/5511816/tanpa-beban-vietnam-ingin-happy-ending-dengan-permalukan-irak-di-laga-pamungkas-grup-d-piala-asia-2023
63,"Hasil 12 Besar Pegadaian Liga 2: Ditahan Deltras FC, Persela Gagal Naik ke Puncak Grup Y",,https://www.bola.com/indonesia/read/5512008/hasil-12-besar-pegadaian-liga-2-ditahan-deltras-fc-persela-gagal-naik-ke-puncak-grup-y
64,"Xavi Kena Semprot Setelah Nyindir Kemenangan Kontroversial Real Madrid: Ngaca, Barcelona 600 Kasus!",,https://www.bola.com/spanyol/read/5511893/xavi-kena-semprot-setelah-nyindir-kemenangan-kontroversial-real-madrid-ngaca-barcelona-600-kasus
65,Nonton Live Streaming Jepang Vs Timnas Indonesia di Piala Asia 2023: Yuk Terbang Tinggi Garuda!,,https://www.bola.com/indonesia/read/5511804/nonton-live-streaming-jepang-vs-timnas-indonesia-di-piala-asia-2023-yuk-terbang-tinggi-garuda
66,Kiper Jepang Penolak MU Pamer Cara Mentahkan Lemparan Jauh Pratama Arhan di Piala Asia 2023: Tidak Terlalu Mengancam,,https://www.bola.com/indonesia/read/5511789/kiper-jepang-penolak-mu-pamer-cara-mentahkan-lemparan-jauh-pratama-arhan-di-piala-asia-2023-tidak-terlalu-mengancam
67,5 Klub Eropa Paling Cuan pada Bursa Transfer: Chelsea Piawai Melego Pemain,,https://www.bola.com/inggris/read/5511777/5-klub-eropa-paling-cuan-pada-bursa-transfer-chelsea-piawai-melego-pemain
68,Piala Asia 2023: Timnas Indonesia Butuh Gelandang Petarung dan Kuat Pegang Bola untuk Redam Agresivitas Jepang,,https://www.bola.com/indonesia/read/5511738/piala-asia-2023-timnas-indonesia-butuh-gelandang-petarung-dan-kuat-pegang-bola-untuk-redam-agresivitas-jepang
69,"Netizen Ngoceh dan Minta Ramadhan Sananta Dimainkan Timnas Indonesia Vs Jepang di Piala Asia 2023, Asisten Shin Tae-yong Menjawab",,https://www.bola.com/indonesia/read/5511732/netizen-ngoceh-dan-minta-ramadhan-sananta-dimainkan-timnas-indonesia-vs-jepang-di-piala-asia-2023-asisten-shin-tae-yong-menjawab
70,"Link Live Streaming Indonesia Masters 2024 Hari Ini, Selasa 23 Januari",,https://www.bola.com/ragam/read/5511850/link-live-streaming-indonesia-masters-2024-hari-ini-selasa-23-januari
71,Link Live Streaming Pegadaian Liga 2 di Vidio: Persela Lamongan Vs Deltras Sidoarjo,,https://www.bola.com/indonesia/read/5511696/link-live-streaming-pegadaian-liga-2-di-vidio-persela-lamongan-vs-deltras-sidoarjo
72,"Jadon Sancho Habis-habisan Puji Ronaldo: Dia Sangat Profesional, Anutan Saya",,https://www.bola.com/dunia/read/5511636/jadon-sancho-habis-habisan-puji-ronaldo-dia-sangat-profesional-anutan-saya
73,"Meski pada Hari dan Jam Kerja, 5.000 Suporter Diprediksi Tetap Akan Dukung Timnas Indonesia Vs Jepang di Piala Asia 2023",,https://www.bola.com/indonesia/read/5511649/meski-pada-hari-dan-jam-kerja-5000-suporter-diprediksi-tetap-akan-dukung-timnas-indonesia-vs-jepang-di-piala-asia-2023
74,Liga Italia: Suporter Udinese Divonis Seumur Hidup Setelah Bertindak Rasialisme kepada Mike Maignan,,https://www.bola.com/dunia/read/5511654/liga-italia-suporter-udinese-divonis-seumur-hidup-setelah-bertindak-rasialisme-kepada-mike-maignan
75,"Malam Ini Pukul 20.30 WIB, Timnas Indonesia Bisa Lolos ke 16 Besar Piala Asia 2023 jika Suriah dan India Main Imbang",,https://www.bola.com/indonesia/read/5511587/malam-ini-pukul-2030-wib-timnas-indonesia-bisa-lolos-ke-16-besar-piala-asia-2023-jika-suriah-dan-india-main-imbang
76,Tips Anyar Mobile Legends : Ada Resource Baru Agar Ponsel Tak Lemot,,https://www.bola.com/e-sports/read/5511744/tips-anyar-mobile-legends-ada-resource-baru-agar-ponsel-tak-lemot
77,"Nelangsa Timnas China di Piala Asia 2023: Tanpa Kemenangan, Tanpa Gol, Gugur di Fase Grup!",,https://www.bola.com/indonesia/read/5511669/nelangsa-timnas-china-di-piala-asia-2023-tanpa-kemenangan-tanpa-gol-gugur-di-fase-grup
78,"Piala Asia 2023: Hasil Lengkap, Jadwal, Klasemen dan Top Skorer",,https://www.bola.com/indonesia/read/5500136/piala-asia-2023-hasil-lengkap-jadwal-klasemen-dan-top-skorer
79,Save Berkelas Dunia Calon Naturalisasi Timnas Indonesia Maarten Paes Bikin Lionel Messi Frustrasi,,https://www.bola.com/indonesia/read/5511608/save-berkelas-dunia-calon-naturalisasi-timnas-indonesia-maarten-paes-bikin-lionel-messi-frustrasi
80,"MU Masih Ngarep Jadon Sancho dan Antony, Ini 13 Transfer Mahal Manchester United dan Nasibnya : Hanya 2 Dianggap Berhasil, yang Lain Gagal",,https://www.bola.com/inggris/read/5511707/mu-masih-ngarep-jadon-sancho-dan-antony-ini-13-transfer-mahal-manchester-united-dan-nasibnya-hanya-2-dianggap-berhasil-yang-lain-gagal
